sqrt_grad,fwenguang,2022-09-02
square,Chenxiao Niu,Niu
square_grad,Chenxiao Niu,Niu
squared_l2_norm,Lux et Veritas,et
squared_l2_norm_grad,Lux et Veritas,et
squeeze,Lux et Veritas,et
squeeze_grad,Lux et Veritas,et
squeeze_with_xshape,Lux et Veritas,et
stack,Lux et Veritas,et
strided_copy,Tongkai,2024-03-15
strided_slice,Chenxiao Niu,Niu
strided_slice_grad,Chenxiao Niu,Niu
strided_slice_raw,Lux et Veritas,et
strided_slice_raw_grad,Lux et Veritas,et
subtract,fwenguang,2022-09-07
subtract_grad,fwenguang,2022-09-07
subtract_raw,fwenguang,2022-09-07
sum,fwenguang,2022-09-07
sum_grad,fwenguang,2022-09-07
sum_raw,fwenguang,2022-09-07
swish,PeiyuLau,2023-06-16
swish_grad,PeiyuLau,2023-10-10
sync_batch_norm,Chenxiao Niu,Niu
sync_batch_norm_grad,Chenxiao Niu,Niu
tanh,Chenxiao Niu,Niu
tanh_grad,Chenxiao Niu,Niu
tile,Lux et Veritas,et
tile_grad,Chenxiao Niu,Niu
topk,Lux et Veritas,et
transpose,Chenxiao Niu,Niu
transpose_grad,Chenxiao Niu,Niu
tril,claire199705,2023-02-14
tril_grad,claire199705,2023-02-14
tril_triu,Chenxiao Niu,Niu
tril_triu_grad,claire199705,2023-02-14
triu,claire199705,2023-02-14
triu_grad,claire199705,2023-02-14
truncated_gaussian_random,Chenxiao Niu,Niu
uniform,Chenxiao Niu,(Chenxiao
uniform_raw,Chenxiao Niu,(Chenxiao
unsqueeze,cifar10,2022-09-26
unsqueeze_grad,cifar10,2022-09-26
unsqueeze_with_xshape,cifar10,2022-09-26
unstack,cifar10,2022-09-26
unstack_grad,cifar10,2022-09-26
where,claire199705,2023-07-11
where_grad,Chenxiao Niu,Niu
yolo_box,Lux et Veritas,et
